GPSlatitude,GPSlongitude
37.630622,126.710853
37.630622,126.710853
37.630622,126.710853
37.630622,126.710853
37.630622,126.710853
37.630622,126.710853
37.630638,126.710772
37.630638,126.710772
37.630638,126.710772
37.630638,126.710772
37.630638,126.710772
37.630638,126.710772
37.630638,126.710772
37.630638,126.710772
37.630638,126.710772
37.630638,126.710772
37.630663,126.710685
37.630663,126.710685
37.630663,126.710685
37.630663,126.710685
37.630663,126.710685
37.630663,126.710685
37.630663,126.710685
37.630663,126.710685
37.630663,126.710685
37.630663,126.710685
37.630697,126.71059
37.630697,126.71059
37.630697,126.71059
37.630697,126.71059
37.630697,126.71059
37.630697,126.71059
37.630697,126.71059
37.630697,126.71059
37.630697,126.71059
37.630697,126.71059
37.63074,126.710492
37.63074,126.710492
37.63074,126.710492
37.63074,126.710492
37.63074,126.710492
37.63074,126.710492
37.63074,126.710492
37.63074,126.710492
37.63074,126.710492
37.63074,126.710492
37.63079,126.71039
37.63079,126.71039
37.63079,126.71039
37.63079,126.71039
37.63079,126.71039
37.63079,126.71039
37.63079,126.71039
37.63079,126.71039
37.63079,126.71039
37.63079,126.71039
37.630847,126.710282
37.630847,126.710282
37.630847,126.710282
37.630847,126.710282
37.630847,126.710282
37.630847,126.710282
37.630847,126.710282
37.630847,126.710282
37.630847,126.710282
37.630847,126.710282
37.630908,126.710167
37.630908,126.710167
37.630908,126.710167
37.630908,126.710167
37.630908,126.710167
37.630908,126.710167
37.630908,126.710167
37.630908,126.710167
37.630908,126.710167
37.630908,126.710167
37.630973,126.710047
37.630973,126.710047
37.630973,126.710047
37.630973,126.710047
37.630973,126.710047
37.630973,126.710047
37.630973,126.710047
37.630973,126.710047
37.630973,126.710047
37.630973,126.710047
37.631043,126.70992
37.631043,126.70992
37.631043,126.70992
37.631043,126.70992
37.631043,126.70992
37.631043,126.70992
37.631043,126.70992
37.631043,126.70992
37.631043,126.70992
37.631043,126.70992
37.631115,126.709788
37.631115,126.709788
37.631115,126.709788
37.631115,126.709788
37.631115,126.709788
37.631115,126.709788
37.631115,126.709788
37.631115,126.709788
37.631115,126.709788
37.631115,126.709788
37.63119,126.709653
37.63119,126.709653
37.63119,126.709653
37.63119,126.709653
37.63119,126.709653
37.63119,126.709653
37.63119,126.709653
37.63119,126.709653
37.63119,126.709653
37.63119,126.709653
37.631263,126.709515
37.631263,126.709515
37.631263,126.709515
37.631263,126.709515
37.631263,126.709515
37.631263,126.709515
37.631263,126.709515
37.631263,126.709515
37.631263,126.709515
37.631263,126.709515
37.631332,126.709373
37.631332,126.709373
37.631332,126.709373
37.631332,126.709373
37.631332,126.709373
37.631332,126.709373
37.631332,126.709373
37.631332,126.709373
37.631332,126.709373
37.631332,126.709373
37.631395,126.70923
37.631395,126.70923
37.631395,126.70923
37.631395,126.70923
37.631395,126.70923
37.631395,126.70923
37.631395,126.70923
37.631395,126.70923
37.631395,126.70923
37.631395,126.70923
37.631455,126.709083
37.631455,126.709083
37.631455,126.709083
37.631455,126.709083
37.631455,126.709083
37.631455,126.709083
37.631455,126.709083
37.631455,126.709083
37.631455,126.709083
37.631455,126.709083
37.631508,126.708935
37.631508,126.708935
37.631508,126.708935
37.631508,126.708935
37.631508,126.708935
37.631508,126.708935
37.631508,126.708935
37.631508,126.708935
37.631508,126.708935
37.631508,126.708935
37.631557,126.708783
37.631557,126.708783
37.631557,126.708783
37.631557,126.708783
37.631557,126.708783
37.631557,126.708783
37.631557,126.708783
37.631557,126.708783
37.631557,126.708783
37.631557,126.708783
37.631602,126.708632
37.631602,126.708632
37.631602,126.708632
37.631602,126.708632
37.631602,126.708632
37.631602,126.708632
37.631602,126.708632
37.631602,126.708632
37.631602,126.708632
37.631602,126.708632
37.631642,126.708483
37.631642,126.708483
37.631642,126.708483
37.631642,126.708483
37.631642,126.708483
37.631642,126.708483
37.631642,126.708483
37.631642,126.708483
37.631642,126.708483
37.631642,126.708483
37.631678,126.708337
37.631678,126.708337
37.631678,126.708337
